county,zoning_source,zone_code,geometry,fillColor,stroke,stroke-width
Pinellas,pinellas_belleair_zoning,PMU,"POLYGON((-82.80679924 27.94363301, -82.80679813 27.94367052, -82.80687897 27.94369801, -82.80701608 27.94376178, -82.80728786 27.94394781, -82.8075926 27.94411992, -82.8079022 27.94433089, -82.80823571 27.94452476, -82.80904102 27.94494363, -82.80947599 27.94515446, -82.80958101 27.94519161, -82.80969185 27.94520278, -82.80974748 27.94519836, -82.80981642 27.94517606, -82.80990284 27.94511081, -82.80995129 27.94503362, -82.80998248 27.94492473, -82.81003125 27.94482249, -82.81006182 27.94477476, -82.81009416 27.94474145, -82.81017437 27.94468266, -82.81027155 27.94463989, -82.81032309 27.94462682, -82.81049095 27.94460964, -82.81068952 27.94455657, -82.81088164 27.94446953, -82.81103401 27.94436842, -82.8118901 27.94450436, -82.81202531 27.94372991, -82.81138517 27.94363789, -82.81139112 27.94345613, -82.8113768 27.94326384, -82.81133868 27.9430638, -82.81127515 27.94287322, -82.81076908 27.94239414, -82.81070359 27.94235727, -82.8106435 27.942345, -82.81060776 27.94234533, -82.8105207 27.94239032, -82.81048938 27.94241672, -82.81034087 27.94258432, -82.81019166 27.94269744, -82.81005562 27.94276651, -82.80981079 27.94286229, -82.80967886 27.94293803, -82.8095718 27.94301877, -82.80948029 27.94310667, -82.80938685 27.94323009, -82.80930523 27.9433915, -82.80924969 27.94356757, -82.80921229 27.9436107, -82.80916243 27.94363848, -82.80910608 27.94364758, -82.80873638 27.94364003, -82.80873704 27.94360568, -82.80751497 27.94359462, -82.80734227 27.94360867, -82.80706097 27.94366844, -82.80695584 27.94366853, -82.80679924 27.94363301))","rgb(72,138,109)",#747474,3
Pinellas,pinellas_belleair_zoning,PMU,"POLYGON((-82.80679924 27.94363301, -82.80690913 27.94366219, -82.80700059 27.9436709, -82.80710735 27.94366208, -82.80734227 27.94360867, -82.80751497 27.94359462, -82.80873704 27.94360568, -82.80874259 27.94331858, -82.80823914 27.94331566, -82.80824143 27.94312053, -82.80722949 27.94311373, -82.80681371 27.94314552, -82.80679924 27.94363301))","rgb(72,138,109)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.81246116 27.93214311, -82.81199418 27.93293495, -82.81278973 27.93330503, -82.81342195 27.93223299, -82.8126264 27.93186292, -82.81246116 27.93214311))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.80989638 27.9243895, -82.81046989 27.92478441, -82.81107235 27.92506511, -82.81148865 27.9243598, -82.81149703 27.92432674, -82.81148267 27.92428396, -82.81146605 27.92426826, -82.81143398 27.92425663, -82.81003052 27.92424465, -82.80989638 27.9243895))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.81428402 27.93431092, -82.81460409 27.93452781, -82.81485751 27.93436944, -82.81512765 27.93421475, -82.81486843 27.93394793, -82.81480568 27.93405429, -82.81460852 27.93411171, -82.81431845 27.93386377, -82.81415921 27.93399423, -82.81398755 27.93411001, -82.81428402 27.93431092))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.80018188 27.94439304, -82.80191618 27.94440918, -82.80191378 27.94401142, -82.80017948 27.94399712, -82.80018188 27.94439304))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.81056278 27.92628387, -82.80991575 27.92738004, -82.81060138 27.92769932, -82.81139221 27.92635955, -82.81070657 27.92604027, -82.81056278 27.92628387))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.80832575 27.92423026, -82.8082805 27.92424713, -82.80825908 27.9242767, -82.80825455 27.92431293, -82.8082761 27.92435614, -82.80992708 27.92549448, -82.81062662 27.92582025, -82.81098607 27.92521127, -82.81036267 27.92492097, -82.80937643 27.92423913, -82.80832575 27.92423026))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.81192153 27.93013468, -82.81166681 27.93029109, -82.81180859 27.9304509, -82.81182918 27.9305049, -82.81183321 27.93056235, -82.81180772 27.93064421, -82.81163529 27.93093658, -82.81267773 27.93142151, -82.81282385 27.93117373, -82.81286585 27.93107394, -82.81287752 27.93102098, -82.8128827 27.930967, -82.81287404 27.93085857, -82.81284051 27.93075463, -82.81281475 27.93070638, -82.81222719 27.92994697, -82.81192153 27.93013468))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.80431807 27.93569207, -82.80430032 27.93606055, -82.80525136 27.93606639, -82.80600515 27.93532554, -82.80433622 27.93531529, -82.80431807 27.93569207))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.81108014 27.93662852, -82.81069339 27.93688106, -82.81074085 27.93701204, -82.81214492 27.93701951, -82.81231922 27.93699983, -82.81249538 27.93696097, -82.81265777 27.93690675, -82.81280538 27.93684001, -82.81254081 27.93647272, -82.81240972 27.9365332, -82.81237965 27.93653977, -82.81220911 27.9361568, -82.81200257 27.93621474, -82.81173407 27.93625408, -82.81162767 27.93628461, -82.81152926 27.93633526, -82.81108014 27.93662852))","rgb(108,164,202)",#747474,3
Pinellas,pinellas_belleair_zoning,R-1,"POLYGON((-82.8040542 27.95266342, -82.8045928 27.95266791, -82.80459226 27.95257715, -82.80510668 27.95258145, -82.80529109 27.95171013, -82.80404874 27.95170255, -82.8040542 27.95266342))","rgb(108,164,202)",#747474,3
